symbol	globalScore
KLK3	0.9407635294608481
POLR1C	0.9366618878975483
ANO7	0.9303989007716464
CFTR	0.9253128589843315
PPP1R14A	0.9246939387464738
CENPF	0.9180564061208423
DM1-AS	0.9167332488301675
BRCA2	0.915265798895453
RASSF6	0.9122159321848496
ZMIZ1	0.910893328463381
BCL2L11	0.9094116427457145
TERT	0.9077129878958915
TMPRSS2	0.9074080435738742
PROP1	0.9030491271709876
LMNA	0.8958006076385363
CHEK2	0.8954565833310305
POLR3B	0.894736970559675
CDH1	0.8937651720566161
DNAH1	0.8937385847418485
SLC22A3	0.8932916649965125
RNF216	0.8927151117321992
FGFR2	0.8915703609846864
DNHD1	0.8909706717764956
NR0B1	0.890890121249253
RFX6	0.8895765417000601
NR5A1	0.8849362758952448
ELAC2	0.8838986344066606
USP28	0.8827729085274112
KITLG	0.8813421118310774
AR	0.8800627781045092
SMCHD1	0.8777088676287907
TCF7L2	0.8763060717844428
INHBB	0.8711330808895037
DMPK	0.8706578307807145
SUN5	0.8706468511243859
RGS17	0.8698006293098339
TNS3	0.8687499170452267
RAB3GAP2	0.8685337393263798
INCENP	0.8680785510388289
EEFSEC	0.8678003356048483
FOXP4	0.8670671361463678
POGLUT3	0.863437411612155
VPS53	0.8613764286713657
FKBP6	0.858979611437026
MLPH	0.8573023961473253
AMH	0.8565115522688691
WDR11	0.8544605119383476
RNASEH2B	0.8543789651820235
MSH4	0.8534396433393968
THADA	0.852568161090286
SIM2	0.8509227551231215
TEX15	0.8487771243312652
RFX7	0.8487523877602747
POU5F1B	0.8471248388327538
STN1	0.8452286594518423
OTX1	0.8448374926585891
MEIS1	0.8442152670115806
DPY19L2	0.8440995292686062
IRX4	0.843153331724804
DNAH10	0.8421853843459725
PTEN	0.8390413996385054
AMHR2	0.8385459943090534
EBF2	0.838130216504731
ITGA6	0.8379067491812231
CDCA7	0.836337658808265
QRICH2	0.8362547756965092
CLPTM1L	0.8362465271449367
SHBG	0.8351608782242537
TEX11	0.8315079561928674
HESX1	0.8305971998286547
DNAH17	0.8298385917261606
ADGRG2	0.8291301255363948
CFAP43	0.8275713902880604
ABCD1	0.8274613634158176
TET2	0.8270062528894476
FANCM	0.8269372205664413
TMEM17	0.8269022993504562
SPINT2	0.8241762062955463
PLCZ1	0.8231120113184509
SHOC1	0.8229007458179727
HNF1B	0.8228191850274468
SPDL1	0.8221356343071312
ZNF217	0.8214333539882281
NKX3-1	0.820228211753003
KASH5	0.8199652734051315
DHX37	0.8198525811132604
TBX1	0.8196524198682581
SIDT1	0.8191692217159587
HOXB13	0.8189077240865613
MMP7	0.817586699178161
NANOS1	0.8167481660398666
CCDC146	0.8159951130941984
L3MBTL3	0.8137576421424082
ATM	0.8129115077458048
BCL11A	0.8123175575251657
PRTG	0.8121796971217373
PDLIM5	0.8111861172329035
CFAP58	0.8091093663049238
BIK	0.8081895160540493
CDKN1B	0.8066846993886551
PTPN11	0.8061297472062898
GDF7	0.8050913233845085
DNAH3	0.804778789878264
SYCP2	0.8045623610002026
DNAH8	0.8028707072266741
CCIN	0.8007968431539079
SPRY4	0.8000533953051616
FKBP4	0.7991951865978734
AURKC	0.7984579329252772
TTC21A	0.7977235850269374
SKIL	0.797627205794991
SLC26A8	0.796473340928886
KLF5	0.7963924963052579
CFAP251	0.7958674976066059
ADGRG1	0.7955744715652011
GATA2	0.7952489504844408
ARMC2	0.7937000184073627
