multiplex	node	score
1	ESR1	0.5002598190669313
1	MAPK14	0.009073911500872547
1	MAPK11	0.008814649042672056
1	PIAS1	0.008752558162074892
1	MAPK3	0.008675072638809947
1	SP3	0.008629518293912678
1	USF1	0.008488609898641601
1	MAPK1	0.008445553246680258
1	MYD88	0.008356227352617186
1	IL1RAP	0.008346403404512232
1	IRAK4	0.008342079991258227
1	PIAS3	0.008124979592414892
1	STAT5B	0.008083728727849637
1	IRAK1	0.008070223799749273
1	GNAI1	0.007984208231045288
1	GNAI3	0.007981618799541233
1	GNAI2	0.00798128521886592
1	BRCA1	0.007974570924436987
1	TRAF6	0.007925748975035889
1	PGR	0.007923749651481042
1	IL1RL1	0.007894351165693278
1	IL33	0.007894351165693278
1	SMAD3	0.007892891107690385
1	KCNH2	0.007831038324245075
1	GNAT3	0.007826002339698452
1	HSP90AA1	0.007820646497471818
1	HSP90AB1	0.007816800494391877
1	ZDHHC21	0.007816596676995633
1	BRCA2	0.00781655967303007
1	FKBP4	0.00781655967303007
1	ZDHHC7	0.00781655967303007
1	PRMT1	0.00781655967303007
1	PTGES3	0.00781655967303007
1	SPI1	0.005497660760861515
1	FOS	0.00462618102120039
1	EP300	0.004023173205672388
1	CTCF	0.003420115703021874
1	SP1	0.0026617820982198083
1	JAK1	0.0021566271715382
1	RAB3GAP2	0.0018843005711832081
1	RAB3GAP1	0.0018842524894213887
1	CEBPB	0.0018530076441279923
1	E2F4	0.0018213031354782263
1	IL6	0.0017720593785059027
1	IL6ST	0.0016589001547586031
1	IL6R	0.0016543540025052118
1	LMO4	0.0015550039733532833
1	RAB18	0.0015074019911644739
1	MYC	0.0014291601800879
1	E2F6	0.0013929782629870668
1	YY1	0.001308847507698517
1	STAT3	0.0011808455540012566
1	EGR1	0.001166828507647659
1	GATA2	0.0011644683151952903
1	RAD21	0.0010700589161154342
1	JUND	0.0010621796115154
1	RB1	0.0009801587059016224
1	TP53	0.000965950185965418
1	SRC	0.0008670585576741039
1	TAL1	0.0008307974933699409
1	RGS18	0.0008232422778797208
1	RGS19	0.0008196642674658717
1	HDAC2	0.0008178015977668004
1	PLK1	0.0008151465345173308
1	RGS20	0.0008122502049028324
1	RGS4	0.0008122502049028324
1	RGS10	0.0008079956371189862
1	RGS6	0.0008079956371189862
1	RGS7	0.0008079956371189862
1	RGS16	0.0008079956371189862
1	RGS14	0.0008079956371189862
1	RGS1	0.0008079956371189862
1	DCTN3	0.0007877354913503141
1	DCTN1	0.0007877354913503141
1	DYNC1H1	0.0007877354913503141
1	DYNC1I2	0.0007877354913503141
1	DCTN2	0.0007877354913503141
1	DYNLL1	0.0007877354913503141
1	ACTR1A	0.0007877354913503141
1	ACTR10	0.0007876951198885753
1	CAPZB	0.0007876951198885753
1	DYNC1LI2	0.0007876951198885753
1	DCTN6	0.0007876951198885753
1	CAPZA1	0.0007876951198885753
1	DYNC1I1	0.0007876951198885753
1	CAPZA3	0.0007876951198885753
1	DCTN5	0.0007876951198885753
1	DCTN4	0.0007876951198885753
1	DYNLL2	0.0007876951198885753
1	DYNC1LI1	0.0007876951198885753
1	CAPZA2	0.0007876951198885753
1	FOXA2	0.0007374085624199146
1	FOSL2	0.0007313957849201929
1	JUN	0.0007228550119663979
1	NFKB1	0.0006605914254405588
1	AR	0.0006522482099888929
1	STAT1	0.0006149044297461723
1	JAK2	0.0005905880387436698
1	CXCR4	0.0005407238606236814
1	SEPTIN2	0.000540068320063298
1	LPAR1	0.0005320277410401574
1	IL2	0.0005311653589740273
1	NRF1	0.0005248003976748354
1	TCF7L2	0.0005135793536362914
1	USF2	0.0005022987358852327
1	ZBTB7A	0.00048541742861243507
1	TCF12	0.0004697071201204491
1	TAB3	0.00045900609302330014
1	MAFK	0.0004578320101797745
1	PTPN1	0.0004573933596529955
1	IL1R1	0.00045525156340558515
1	F2R	0.00044955850863317835
1	TIRAP	0.00044700996538772663
1	ETS1	0.00044676237596163673
1	PF4	0.00044450009332758634
1	CXCR3	0.00043796280525734205
1	E2F1	0.00043757147500777697
1	LYN	0.00043723711266593484
1	SMO	0.00043555078653545644
1	RGS3	0.00043194216087120236
1	RGS17	0.00042452809830816334
1	ZNF263	0.00042202383040949165
1	CDK4	0.0004176853218672724
1	RGS5	0.00041669552011046817
1	RGS11	0.00041669552011046817
1	RGS12	0.00041669552011046817
1	RGS13	0.00041669552011046817
1	RGS9	0.00041669552011046817
1	KAT2B	0.00039902208374718244
1	RELA	0.00039725298679816825
1	TAF1	0.0003963897460734317
1	FYN	0.00039539449866949527
1	SRF	0.00039239422149381966
1	MAX	0.0003830147064641639
1	REST	0.00037732355696120057
1	YES1	0.0003677645608996775
1	HOXA1	0.0003633462447777094
1	CCNT2	0.0003612233043705602
1	GABPA	0.00036053471234447554
1	CCNB1	0.0003572572977852088
1	CCNB2	0.00035517513049172344
1	CDK1	0.0003548584276598713
1	LCK	0.0003396846592127105
1	NFYB	0.0003363223292647305
1	FGR	0.00033126651830062246
1	HCK	0.0003257651580377885
1	PTPN2	0.0003254021014233652
1	PAX5	0.00032340932993916175
1	TFAP2A	0.0003203007840026866
1	ESPL1	0.00031934989694061485
1	TAB2	0.00031624650928480726
1	CREB1	0.00031496175902646884
1	SMARCB1	0.00031454597095359314
1	CHEK1	0.0003105056008868835
1	IL1B	0.0003104878745632622
1	SMARCA4	0.0003084541426843299
1	TAB1	0.0003083855907181909
1	BLK	0.0003068377173395223
1	SUMO1	0.00030273490529374197
1	NR3C1	0.00029876019972856747
1	KDR	0.00029803932483816575
1	DNM1	0.00029604645965944365
1	ATR	0.00029496245309981706
1	TLR4	0.0002888884284784512
1	LY96	0.0002888884284784512
1	FOXA1	0.00028859078412088137
1	S100A8	0.0002884949858344048
1	S100A9	0.0002884949858344048
1	NFYA	0.00028827968419812617
1	TICAM2	0.000288222278644299
1	VEGFA	0.00028695300598891276
1	ATM	0.0002840356102478643
1	MAPK7	0.00028322972669595024
1	PTK2B	0.00028160319288275773
1	IL2RG	0.00028128920616781735
1	SLX4	0.0002810941598278995
1	SLX1A	0.0002810941598278995
1	RTEL1	0.0002810941598278995
1	GEN1	0.0002810941598278995
1	SPIDR	0.0002810941598278995
1	MUS81	0.0002810941598278995
1	EME1	0.0002810941598278995
1	JAK3	0.000279738134915427
1	PIF1	0.0002782337948863422
1	PRKCA	0.0002773708822262906
1	STRC	0.00027634020933888214
1	ATF1	0.000272196013127325
1	MAFF	0.00027171678813416966
1	HSF1	0.00026898780233703735
1	CREBBP	0.00026881783964630325
1	PRKACA	0.0002661739333365685
1	UBE3A	0.00026403272026734884
1	CYSLTR1	0.0002634502444755163
1	CYSLTR2	0.0002634502444755163
1	ETS2	0.0002591007631354127
1	UBE2I	0.00025548699010394764
1	SNCA	0.0002544303236228492
1	BCL3	0.0002536604302391556
1	PDGFRB	0.0002534565632830091
1	MAPK6	0.00024294201576667465
1	MAPK15	0.00024211475908983158
1	RAC1	0.00024175724245909422
1	SMARCC1	0.00023882005421951524
1	RMI1	0.00023856481080138803
1	RMI2	0.00023856481080138803
1	PBX3	0.0002377199382674536
1	PCF11	0.00023656332913232927
1	SSU72	0.00023655513930727383
1	TFDP1	0.000235606510041681
1	BCLAF1	0.00023310070137222576
1	GNB1	0.00023309057835172887
1	GNG2	0.00023270092645573815
1	BLM	0.00023230668575607196
1	TOP3A	0.0002318020578417722
1	ITGB3	0.00023175767167217176
1	RAD51C	0.0002273960898455379
1	MND1	0.0002273960898455379
1	TEX15	0.0002273960898455379
1	PSMC3IP	0.0002273960898455379
1	MAP2K4	0.00022735896473088832
1	TNFRSF11A	0.00022654705355860773
1	ADAM17	0.00022653858016267686
1	SIN3A	0.00022635523972848657
1	ITGAV	0.00022596087498980827
1	EIF2AK2	0.0002235993566284472
1	MAP2K7	0.00022098022320272994
1	GNAQ	0.0002207516491771726
1	PAK2	0.00022068189050061473
1	SUZ12	0.00021891170940703086
1	DYNLT1	0.00021866735878733014
1	TFDP2	0.00021829195818671355
1	TRIM28	0.00021809047343423482
1	PPARGC1A	0.0002179645364666476
1	DUSP8	0.00021617522329044146
1	MEF2A	0.00021480802378497625
1	PDGFB	0.0002144625788870723
1	RXRA	0.00021427180109847625
1	RFX5	0.00021393511496466098
1	TBP	0.00021333510804117766
1	ESR2	0.0002119522680196311
1	MAPK8	0.00020751742583720661
1	CEBPA	0.0002048558969942906
1	TRAF2	0.0002041249332206085
1	HNF4G	0.00020395548060830732
1	TGFB1	0.00020375981856438871
1	RARA	0.00020369835265273645
1	TFAP2C	0.00020290167860074478
1	CCNH	0.00020253058969259678
1	MNAT1	0.00020253058969259678
1	CDK7	0.00020253058969259678
1	POU2F1	0.00020097603661484726
1	SYK	0.00020086281521154866
